date,home_team,away_team,home_score,away_score,gameweek,home_xg,away_xg
2020-01-21,Sheffield Utd,Man City,0,1,24,0.72,2.69
2020-01-21,Chelsea,Arsenal,2,2,24,3.16,0.53
2020-01-22,Leicester,West Ham,4,1,24,2.72,1.09
2020-01-22,Spurs,Norwich,2,1,24,2.08,1.33
2020-01-22,Man Utd,Burnley,0,2,24,1.32,0.67
2020-01-23,Wolves,Liverpool,1,2,24,1.73,1.49
2020-01-29,West Ham,Liverpool,0,2,24,0.82,2.43
2020-02-01,Leicester,Chelsea,2,2,25,1.55,0.75
2020-02-01,Bournemouth,Aston Villa,2,1,25,2.54,1.32
2020-02-01,Crystal Palace,Sheffield Utd,0,1,25,0.91,0.80
2020-02-01,Liverpool,Southampton,4,0,25,3.48,0.67
2020-02-01,Newcastle,Norwich,0,0,25,0.88,2.24
2020-02-01,Watford,Everton,2,3,25,0.86,2.53
2020-02-01,West Ham,Brighton,3,3,25,1.22,1.90
2020-02-01,Man Utd,Wolves,0,0,25,1.11,1.44
2020-02-02,Burnley,Arsenal,0,0,25,2.10,1.38
2020-02-02,Spurs,Man City,2,0,25,0.39,3.04
2020-02-08,Everton,Crystal Palace,3,1,26,2.61,0.81
2020-02-08,Brighton,Watford,1,1,26,0.71,0.26
2020-02-09,Sheffield Utd,Bournemouth,2,1,26,1.91,1.00
2020-02-14,Wolves,Leicester,0,0,26,1.07,0.49
2020-02-15,Southampton,Burnley,1,2,26,0.65,0.83
2020-02-15,Norwich,Liverpool,0,1,26,0.36,1.94
2020-02-16,Aston Villa,Spurs,2,3,26,1.60,3.61
2020-02-16,Arsenal,Newcastle,4,0,26,2.82,1.09
2020-02-17,Chelsea,Man Utd,0,2,26,0.88,0.64
2020-02-19,Man City,West Ham,2,0,26,2.00,0.08
2020-02-22,Chelsea,Spurs,2,1,27,1.67,0.25
2020-02-22,Burnley,Bournemouth,3,0,27,2.90,1.64
2020-02-22,Crystal Palace,Newcastle,1,0,27,1.64,0.15
2020-02-22,Sheffield Utd,Brighton,1,1,27,1.55,0.99
2020-02-22,Southampton,Aston Villa,2,0,27,2.83,0.44
2020-02-22,Leicester,Man City,0,1,27,0.68,2.27
2020-02-23,Man Utd,Watford,3,0,27,2.34,0.28
2020-02-23,Wolves,Norwich,3,0,27,3.04,0.34
2020-02-23,Arsenal,Everton,3,2,27,1.25,2.48
2020-02-24,Liverpool,West Ham,3,2,27,2.32,0.60
2020-02-28,Norwich,Leicester,1,0,28,0.55,1.33
2020-02-29,Brighton,Crystal Palace,0,1,28,1.67,2.03
2020-02-29,Bournemouth,Chelsea,2,2,28,1.48,1.85
2020-02-29,Newcastle,Burnley,0,0,28,1.04,0.58
2020-02-29,West Ham,Southampton,3,1,28,2.60,0.81
2020-02-29,Watford,Liverpool,3,0,28,2.54,0.19
2020-03-01,Everton,Man Utd,1,1,28,2.25,1.05
2020-03-01,Spurs,Wolves,2,3,28,1.52,2.45
2020-03-07,Liverpool,Bournemouth,2,1,29,1.77,1.21
2020-03-07,Arsenal,West Ham,1,0,29,1.46,1.51
2020-03-07,Crystal Palace,Watford,1,0,29,0.80,0.42
2020-03-07,Sheffield Utd,Norwich,1,0,29,1.10,2.39
2020-03-07,Southampton,Newcastle,0,1,29,0.33,2.86
2020-03-07,Wolves,Brighton,0,0,29,0.84,0.29
2020-03-07,Burnley,Spurs,1,1,29,3.12,1.06
2020-03-08,Chelsea,Everton,4,0,29,1.90,0.42
2020-03-08,Man Utd,Man City,2,0,29,1.63,0.55
2020-03-09,Leicester,Aston Villa,4,0,29,2.25,0.63
2020-06-17,Aston Villa,Sheffield Utd,0,0,30,0.94,0.22
2020-06-17,Man City,Arsenal,3,0,30,2.56,0.46
2020-06-19,Norwich,Southampton,0,3,30,0.61,1.75
2020-06-19,Spurs,Man Utd,1,1,30,0.50,1.66
2020-06-20,Watford,Leicester,1,1,30,0.94,0.98
2020-06-20,Brighton,Arsenal,2,1,30,0.63,0.65
2020-06-20,West Ham,Wolves,0,2,30,0.41,0.99
2020-06-20,Bournemouth,Crystal Palace,0,2,30,0.34,0.74
2020-06-21,Newcastle,Sheffield Utd,3,0,30,2.01,0.53
2020-06-21,Aston Villa,Chelsea,1,2,30,1.47,1.07
2020-06-21,Everton,Liverpool,0,0,30,0.58,0.62
2020-06-22,Man City,Burnley,5,0,30,2.53,0.03
2020-06-23,Leicester,Brighton,0,0,31,0.47,1.03
2020-06-23,Spurs,West Ham,2,0,31,2.09,0.78
2020-06-24,Man Utd,Sheffield Utd,3,0,31,2.66,0.10
2020-06-24,Newcastle,Aston Villa,1,1,31,0.62,1.15
2020-06-24,Norwich,Everton,0,1,31,0.36,0.61
2020-06-24,Wolves,Bournemouth,1,0,31,0.67,0.06
2020-06-24,Liverpool,Crystal Palace,4,0,31,2.40,0.06
2020-06-25,Burnley,Watford,1,0,31,0.90,0.46
2020-06-25,Southampton,Arsenal,0,2,31,0.69,2.04
2020-06-25,Chelsea,Man City,2,1,31,3.93,0.65
2020-06-27,Aston Villa,Wolves,0,1,32,0.38,0.66
2020-06-28,Watford,Southampton,1,3,32,0.34,1.25
2020-06-29,Crystal Palace,Burnley,0,1,32,1.00,0.34
2020-06-30,Brighton,Man Utd,0,3,32,0.29,1.13
2020-07-01,Arsenal,Norwich,4,0,32,1.65,0.14
2020-07-01,Bournemouth,Newcastle,1,4,32,1.19,2.09
2020-07-01,Everton,Leicester,2,1,32,1.10,1.69
2020-07-01,West Ham,Chelsea,3,2,32,1.97,1.47
2020-07-02,Sheffield Utd,Spurs,3,1,32,1.50,0.95
2020-07-02,Man City,Liverpool,4,0,32,2.48,0.77
2020-07-04,Norwich,Brighton,0,1,33,0.51,0.84
2020-07-04,Leicester,Crystal Palace,3,0,33,2.06,0.47
2020-07-04,Man Utd,Bournemouth,5,2,33,2.46,1.42
2020-07-04,Wolves,Arsenal,0,2,33,0.92,1.20
